Sentence #,Word,POS,Tag
Sentence1,YASHAWANTHA,NNP,B-PER
Sentence1,K,NNP,I-PER
Sentence1,S,NNP,I-PER
Sentence1,Mobile,NNP,O
Sentence1,:,:,O
Sentence1,-7353555773,JJ,O
Sentence1,E-Mail,NN,O
Sentence1,:,:,O
Sentence1,yash072016,NN,O
Sentence1,@,NNP,O
Sentence1,gmail.com,NN,O
Sentence1,Objective,NN,O
Sentence1,:,:,O
Sentence1,Looking,VBG,O
Sentence1,for,IN,O
Sentence1,a,DT,O
Sentence1,challenging,NN,O
Sentence1,career,NN,O
Sentence1,which,WDT,O
Sentence1,will,MD,O
Sentence1,demands,VBZ,O
Sentence1,the,DT,O
Sentence1,best,JJS,O
Sentence1,of,IN,O
Sentence1,my,PRP$,O
Sentence1,ability,NN,O
Sentence1,in,IN,O
Sentence1,terms,NNS,O
Sentence1,of,IN,O
Sentence1,technical,JJ,O
Sentence1,and,CC,O
Sentence1,analytical,JJ,O
Sentence1,skills,NNS,O
Sentence1,",",",",O
Sentence1,and,CC,O
Sentence1,helps,VBZ,O
Sentence1,me,PRP,O
Sentence1,in,IN,O
Sentence1,enhancing,VBG,O
Sentence1,my,PRP$,O
Sentence1,current,JJ,O
Sentence1,skill,NN,O
Sentence1,and,CC,O
Sentence1,knowledge,NN,O
Sentence1,.,.,O
Sentence2,Academic,NNP,O
Sentence2,Profile,NNP,O
Sentence2,:,:,O
Sentence2,Name,NN,O
Sentence2,of,IN,O
Sentence2,Institution,NNP,O
Sentence2,Course,NNP,O
Sentence2,Board/University,NNP,O
Sentence2,Year,NNP,O
Sentence2,Percentage/CGPA,NNP,O
Sentence2,East,NNP,B-EDU
Sentence2,West,NNP,I-EDU
Sentence2,Institute,NNP,I-EDU
Sentence2,of,IN,I-EDU
Sentence2,BE,NNP,I-EDU
Sentence2,VTU,NNP,I-EDU
Sentence2,Belagavi,NNP,I-EDU
Sentence2,2016,CD,I-EDU
Sentence2,65.52,CD,I-EDU
Sentence2,Technology,NNP,I-EDU
Sentence2,(,(,I-EDU
Sentence2,ECE,NNP,I-EDU
Sentence2,,,O
Sentence2,",",,O
Sentence2,,,O
Sentence2,St.,NNP,B-EDU
Sentence2,Mary,NNP,I-EDU
Sentence2,’,NNP,I-EDU
Sentence2,s,VBD,I-EDU
